consumer_id,per_week_purchase_total,per_week_unique_ips,per_week_update_account,per_week_payment_method_change
262,,1.0,,0.0
264,,1.0,,0.0
265,,1.0,,3.0
266,52.11,2.0,2.0,0.0
267,,1.0,,0.0
268,50.89,4.0,12.0,3.0
269,15.73,1.0,1.0,0.0
270,,1.0,,3.0
271,14.4,1.0,1.0,0.0
272,0.0,1.0,5.0,2.0
273,,1.0,,0.0
274,119.52,5.0,10.0,7.0
276,,1.0,,0.0
277,,2.0,6.0,0.0
278,41.11,1.0,1.0,0.0
279,,1.0,,0.0
280,63.78999999999999,2.0,5.0,1.0
282,,1.0,,1.0
284,27.72,1.0,,0.0
285,18.34,1.0,,0.0
286,0.0,1.0,1.0,0.0
287,39.46,1.0,2.0,0.0
288,65.69,2.0,,2.0
289,5.01,1.0,3.0,0.0
290,0.0,1.0,1.0,0.0
291,,1.0,,0.0
292,,3.0,4.0,0.0
293,45.27,1.0,,0.0
294,35.47,1.0,,0.0
295,,1.0,,0.0
296,17.67,1.0,1.0,0.0
298,,1.0,,0.0
300,29.57,1.0,2.0,0.0
301,109.57,1.0,1.0,0.0
302,,1.0,,0.0
303,,2.0,1.0,0.0
304,15.57,2.0,4.0,1.0
305,,3.0,6.0,1.0
306,224.3,3.0,10.0,0.0
308,28.97,1.0,3.0,0.0
309,,1.0,12.0,4.0
313,38.49,3.0,,1.0
314,24.67,1.0,,0.0
315,0.0,2.0,2.0,0.0
316,351.16,2.0,,0.0
317,44.36,2.0,,0.0
318,39.66,2.0,,0.0
319,18.8,1.0,1.0,0.0
320,51.61,1.0,4.0,0.0
321,0.0,1.0,1.0,0.0
322,40.6,1.0,,0.0
323,0.0,1.0,1.0,0.0
326,0.0,1.0,,0.0
327,,1.0,,0.0
328,0.0,2.0,3.0,0.0
329,0.0,1.0,1.0,0.0
331,8.52,1.0,5.0,0.0
333,40.77,1.0,4.0,0.0
334,0.0,1.0,2.0,0.0
335,33.16,3.0,6.0,0.0
336,,1.0,1.0,0.0
339,24.19,1.0,,0.0
340,0.0,1.0,,0.0
341,23.49,3.0,1.0,0.0
342,17.995256697492792,1.0,,0.0
343,,1.0,1.0,1.0
344,0.0,1.0,,0.0
345,22.33,1.0,1.0,0.0
346,37.34,1.0,1.0,2.0
347,0.0,1.0,1.0,0.0
348,25.22,2.0,,0.0
349,55.04,2.0,2.0,0.0
350,,1.0,,0.0
352,,1.0,,0.0
353,17.22,2.0,2.0,0.0
354,36.56,1.0,,0.0
355,38.28,2.0,4.0,0.0
356,19.73,1.0,,0.0
358,18.59,1.0,,0.0
359,0.0,1.0,1.0,1.0
360,,1.0,,0.0
361,,1.0,,0.0
362,45.76,1.0,,0.0
363,0.0,1.0,,0.0
366,,1.0,,0.0
367,37.04,1.0,,0.0
368,6.78,1.0,3.0,0.0
369,3.83,2.0,1.0,0.0
370,20.08,1.0,,0.0
371,0.0,1.0,5.0,0.0
372,36.05,1.0,,0.0
374,21.72,1.0,1.0,0.0
376,,1.0,7.0,1.0
377,,1.0,,0.0
378,,1.0,,0.0
379,,1.0,,0.0
380,23.607358706872212,2.0,,0.0
382,59.67,1.0,,0.0
383,19.61,2.0,,0.0
384,21.4,1.0,,0.0
385,,1.0,,0.0
386,17.94,1.0,1.0,0.0
387,,1.0,1.0,0.0
388,55.38,1.0,1.0,0.0
389,13.98,2.0,1.0,0.0
390,,1.0,1.0,0.0
391,61.24,2.0,3.0,1.0
392,41.86,1.0,,0.0
393,,1.0,4.0,0.0
396,74.14,1.0,1.0,1.0
397,0.0,1.0,,0.0
398,29.37,1.0,,0.0
399,41.38,1.0,,0.0
400,,1.0,,0.0
401,,1.0,4.0,0.0
402,24.67,1.0,,0.0
404,0.0,3.0,3.0,2.0
405,0.0,1.0,4.0,2.0
406,164.03,2.0,,0.0
407,,1.0,,0.0
408,271.18,3.0,5.0,0.0
411,33.88,1.0,,0.0
413,28.76,1.0,1.0,0.0
414,0.0,1.0,1.0,0.0
415,,1.0,,0.0
417,,1.0,1.0,0.0
418,,1.0,8.0,0.0
419,23.64,1.0,,1.0
420,0.0,1.0,,0.0
421,99.21,1.0,1.0,1.0
423,230.3096962915184,1.0,31.0,22.0
424,85.65,1.0,2.0,0.0
426,17.56,1.0,6.0,1.0
427,38.66,2.0,,0.0
428,,1.0,,0.0
429,42.74,2.0,,0.0
431,0.0,1.0,2.0,0.0
432,70.22,2.0,1.0,0.0
433,,1.0,,1.0
434,,1.0,,0.0
435,29.29,3.0,,0.0
436,,1.0,,0.0
440,,1.0,,0.0
441,22.43,1.0,,0.0
442,,3.0,5.0,1.0
443,0.0,1.0,,0.0
444,164.35,1.0,,0.0
445,15.6,1.0,,0.0
446,,1.0,,0.0
447,37.28,1.0,,1.0
449,22.73,1.0,,0.0
453,,1.0,,0.0
454,117.57999999999998,1.0,,0.0
455,87.39,3.0,,2.0
456,108.73,1.0,,1.0
457,17.8,1.0,1.0,0.0
459,0.0,1.0,1.0,0.0
461,0.0,2.0,,0.0
462,,1.0,,0.0
464,4.33,2.0,1.0,1.0
465,,1.0,,0.0
466,0.0,1.0,,0.0
468,0.0,1.0,,5.0
469,,1.0,8.0,1.0
